Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
478980751,18F00503,true,Rx,0,8,FF,FF,FF,7D,FF,FF,FF,FF,
478981372,18FECA03,true,Rx,0,8,00,FF,00,00,00,00,FF,FF,
478981982,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
478990091,0CF00300,true,Rx,0,8,F1,01,0C,FF,FF,FF,7B,FF,
478990893,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
478991503,18F00029,true,Rx,0,8,F0,7D,7D,F0,FF,FF,F0,7D,
478995969,18FF0B21,true,Rx,0,8,D0,F0,FF,FF,53,44,FF,FF,
12252863,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12252900,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12254067,18EBFF00,true,Rx,0,8,02,EB,29,A6,FF,FF,FF,FF,
12257057,0CF00400,true,Rx,0,8,F0,7D,82,D0,12,FF,F0,FF,
12262718,18FEAE30,true,Rx,0,8,FF,FF,00,00,FF,00,FF,FF,
12267117,0CF00400,true,Rx,0,8,F0,7D,82,D0,12,FF,F0,FF,
12267662,18FEF227,true,Rx,0,8,09,00,00,00,F3,04,FF,FF,
12268483,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12277250,0CF00400,true,Rx,0,8,F0,7D,82,D0,12,FF,F0,FF,
12287128,0CF00300,true,Rx,0,8,F1,01,0C,FF,FF,FF,7B,FF,
12287674,0CF00400,true,Rx,0,8,F0,7D,82,D0,12,FF,F0,FF,
12288501,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12292874,18FF0B21,true,Rx,0,8,D0,F0,FF,FF,53,44,FF,FF,
12297171,0CF00400,true,Rx,0,8,F0,7D,82,D0,12,FF,F0,FF,
12297717,18FEF100,true,Rx,0,8,07,00,00,04,01,FF,FF,3F,
12307057,0CF00400,true,Rx,0,8,F0,7D,82,D0,12,FF,F0,FF,
12308400,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12317113,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12327188,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12327730,18F00503,true,Rx,0,8,FF,FF,FF,7D,FF,FF,FF,FF,
12328536,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12337086,0CF00300,true,Rx,0,8,F1,01,0C,FF,FF,FF,7B,FF,
12337636,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12338198,18F00029,true,Rx,0,8,F0,7D,7D,F0,FF,FF,F0,7D,
12342919,18FF0B21,true,Rx,0,8,D0,F0,FF,FF,53,44,FF,FF,
12347180,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12348497,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12356975,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12366979,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12367790,18FEF227,true,Rx,0,8,09,00,00,00,F3,04,FF,FF,
12368340,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12377109,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12387123,0CF00300,true,Rx,0,8,F1,01,0C,FF,FF,FF,7B,FF,
12387669,0CF00400,true,Rx,0,8,F0,7D,83,B0,12,FF,F0,FF,
12388497,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12392932,18FF0B21,true,Rx,0,8,D0,F0,FF,FF,53,44,FF,FF,
12397042,0CF00400,true,Rx,0,8,F0,7D,83,B0,12,FF,F0,FF,
12397846,18FEF100,true,Rx,0,8,07,00,00,04,01,FF,FF,3F,
12407118,0CF00400,true,Rx,0,8,F0,7D,83,B0,12,FF,F0,FF,
12408439,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12416963,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12427025,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12427569,18F00503,true,Rx,0,8,FF,FF,FF,7D,FF,FF,FF,FF,
12428376,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12436988,0CF00300,true,Rx,0,8,F1,01,0C,FF,FF,FF,7B,FF,
12437805,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12438425,18F00029,true,Rx,0,8,F0,7D,7D,F0,FF,FF,F0,7D,
12438988,18FEDF00,true,Rx,0,8,80,FF,FF,FF,FF,FF,FF,FF,
12442871,18FF0B21,true,Rx,0,8,D0,F0,FF,FF,53,44,FF,FF,
12447230,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12448358,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12457148,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12467204,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12467786,18FEF227,true,Rx,0,8,09,00,00,00,F3,04,FF,FF,
12468366,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12477045,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12487166,0CF00300,true,Rx,0,8,F1,01,0C,FF,FF,FF,7B,FF,
12487716,0CF00400,true,Rx,0,8,F0,7D,83,B0,12,FF,F0,FF,
12488520,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12493101,18EA0021,true,Rx,0,3,00,00,00,00,00,00,00,00,
12493106,18FF0B21,true,Rx,0,8,D0,F0,FF,FF,53,44,FF,FF,
12497038,0CF00400,true,Rx,0,8,F0,7D,83,B0,12,FF,F0,FF,
12497931,18FEF100,true,Rx,0,8,07,00,00,04,01,FF,FF,3F,
12506990,0CF00400,true,Rx,0,8,F0,7D,83,B0,12,FF,F0,FF,
12508557,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12517179,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12527066,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12527609,18F00503,true,Rx,0,8,FF,FF,FF,7D,FF,FF,FF,FF,
12528417,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12537013,0CF00300,true,Rx,0,8,F1,01,0D,FF,FF,FF,7B,FF,
12537829,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12538380,18F00029,true,Rx,0,8,F0,7D,7D,F0,FF,FF,F0,7D,
12538934,18FEC1EE,true,Rx,0,8,F0,67,B4,02,DC,29,BD,00,
12542653,18FF0B21,true,Rx,0,8,D0,F0,FF,FF,53,44,FF,FF,
12546992,0CF00400,true,Rx,0,8,F0,7D,83,C0,12,FF,F0,FF,
12548516,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12557197,0CF00400,true,Rx,0,8,F0,7D,83,B0,12,FF,F0,FF,
12567093,0CF00400,true,Rx,0,8,F0,7D,83,B0,12,FF,F0,FF,
12567635,18FEF227,true,Rx,0,8,09,00,00,00,F3,04,FF,FF,
12568455,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12577100,0CF00400,true,Rx,0,8,F0,7D,83,B0,12,FF,F0,FF,
12586942,0CF00300,true,Rx,0,8,F1,01,0C,FF,FF,FF,7B,FF,
12587746,0CF00400,true,Rx,0,8,F0,7D,83,B0,12,FF,F0,FF,
12588557,0CFE6CEE,true,Rx,0,8,00,3F,FF,C4,00,00,00,00,
12589612,18FEE6EE,true,Rx,0,8,40,02,13,07,50,27,6C,7A,
12593778,18FF0B21,true,Rx,0,8,D0,F0,FF,FF,53,44,FF,FF,
12597188,0CF00400,true,Rx,0,8,F0,7D,83,B0,12,FF,F0,FF,
12597734,18FEF100,true,Rx,0,8,07,00,00,04,01,FF,FF,3F,
