Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
52687977,0CF00417,true,Rx,0,8,FF,FF,FF,B1,12,FF,FF,FF,
52690861,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
52707921,0CF00417,true,Rx,0,8,FF,FF,FF,B5,12,FF,FF,FF,
52727871,0CF00417,true,Rx,0,8,FF,FF,FF,B5,12,FF,FF,FF,
52739848,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
52747822,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
52751669,18FEC1EE,true,Rx,0,8,84,B7,EC,00,40,70,10,00,
52767918,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
52788013,0CF00417,true,Rx,0,8,FF,FF,FF,B0,12,FF,FF,FF,
52814036,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
52814041,0CF00417,true,Rx,0,8,FF,FF,FF,AB,12,FF,FF,FF,
52814047,18FEE6EE,true,Rx,0,8,C4,1F,14,07,58,27,7D,7A,
19941,0CF00417,true,Rx,0,8,FF,FF,FF,AB,12,FF,FF,FF,
31836,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
39822,0CF00417,true,Rx,0,8,FF,FF,FF,A7,12,FF,FF,FF,
59843,0CF00417,true,Rx,0,8,FF,FF,FF,A6,12,FF,FF,FF,
79941,0CF00417,true,Rx,0,8,FF,FF,FF,A6,12,FF,FF,FF,
81785,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
99911,0CF00417,true,Rx,0,8,FF,FF,FF,AA,12,FF,FF,FF,
119848,0CF00417,true,Rx,0,8,FF,FF,FF,AA,12,FF,FF,FF,
131783,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
140009,0CF00417,true,Rx,0,8,FF,FF,FF,B1,12,FF,FF,FF,
159848,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
179759,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
181868,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
199818,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
219766,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
231745,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
240005,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
259770,0CF00417,true,Rx,0,8,FF,FF,FF,B1,12,FF,FF,FF,
280175,0CF00417,true,Rx,0,8,FF,FF,FF,B4,12,FF,FF,FF,
281768,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
299817,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
319778,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
331887,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
339795,0CF00417,true,Rx,0,8,FF,FF,FF,C0,12,FF,FF,FF,
359786,0CF00417,true,Rx,0,8,FF,FF,FF,C0,12,FF,FF,FF,
379807,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
381921,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
399759,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
419956,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
432258,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
439972,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
459999,0CF00417,true,Rx,0,8,FF,FF,FF,B3,12,FF,FF,FF,
479766,0CF00417,true,Rx,0,8,FF,FF,FF,AF,12,FF,FF,FF,
481867,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
499766,0CF00417,true,Rx,0,8,FF,FF,FF,B0,12,FF,FF,FF,
519773,0CF00417,true,Rx,0,8,FF,FF,FF,B0,12,FF,FF,FF,
