Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
419348974,18FEC1EE,true,Rx,0,8,19,82,15,00,28,E0,05,00,
419348974,18FEC1EE,true,Rx,0,8,19,82,15,00,28,E0,05,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B5,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B5,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,CE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,CE,12,FF,FF,FF,
484371991,1CDEEE17,true,Rx,0,8,FC,FF,FF,FF,FF,FF,FF,FF,
484371991,1CDEEE17,true,Rx,0,8,FC,FF,FF,FF,FF,FF,FF,FF,
419408151,18FFA917,true,Rx,0,8,25,FF,FF,FF,FF,FF,FF,FF,
419408151,18FFA917,true,Rx,0,8,25,FF,FF,FF,FF,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C5,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C5,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,CC,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,CC,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,CE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,CE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,CC,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,CC,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C8,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C8,12,FF,FF,FF,
419348974,18FEC1EE,true,Rx,0,8,19,82,15,00,28,E0,05,00,
419348974,18FEC1EE,true,Rx,0,8,19,82,15,00,28,E0,05,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B5,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B5,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C7,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C7,12,FF,FF,FF,
484371991,1CDEEE17,true,Rx,0,8,FC,FF,FF,FF,FF,FF,FF,FF,
484371991,1CDEEE17,true,Rx,0,8,FC,FF,FF,FF,FF,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C7,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C7,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C6,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C6,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,CB,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,CB,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C0,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C0,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B5,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B5,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B4,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B4,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C6,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C6,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
419358446,18FEE6EE,true,Rx,0,8,58,2A,12,0B,18,26,7D,7A,
419358446,18FEE6EE,true,Rx,0,8,58,2A,12,0B,18,26,7D,7A,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C3,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B4,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B4,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B9,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BC,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C6,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C6,12,FF,FF,FF,
419348974,18FEC1EE,true,Rx,0,8,19,82,15,00,28,E0,05,00,
419348974,18FEC1EE,true,Rx,0,8,19,82,15,00,28,E0,05,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C0,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C0,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C1,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,BE,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C0,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C0,12,FF,FF,FF,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
218000622,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C6,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C6,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C6,12,FF,FF,FF,
217056279,0CF00417,true,Rx,0,8,FF,FF,FF,C6,12,FF,FF,FF,
