Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
82284192,18FEF000,true,Rx,0,8,FF,FF,FF,90,1A,F0,CC,FF,
82309409,18FEF100,true,Rx,0,8,F4,00,00,50,00,00,00,00,
82310469,0CF00400,true,Rx,0,8,20,7D,84,6D,17,00,0F,84,
82313815,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
82314383,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
82319999,18FFC400,true,Rx,0,8,00,00,00,00,00,F1,FF,FF,
82323590,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
82329001,18FEF200,true,Rx,0,8,26,00,00,00,15,03,FF,FF,
82330055,0CF00400,true,Rx,0,8,30,7D,84,71,17,00,0F,84,
82344175,18FEEF00,true,Rx,0,8,FF,FF,FF,FE,FF,FF,FF,FA,
82350080,0CF00400,true,Rx,0,8,20,7D,84,75,17,00,0F,84,
82353963,18F00100,true,Rx,0,8,FF,FF,FF,FF,00,FF,FF,FF,
82364060,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
82364645,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
82365196,18FEF600,true,Rx,0,8,FF,00,55,FF,FF,FF,FF,FF,
82374804,18F00029,true,Rx,0,8,F0,7D,7D,FF,29,FF,FF,FF,
82384045,18FEF000,true,Rx,0,8,FF,FF,FF,90,1A,F0,CC,FF,
82388873,18FEF700,true,Rx,0,8,FF,FF,FF,FF,27,02,FF,FF,
82389489,18FD3E00,true,Rx,0,8,FF,FE,FF,FF,FE,FF,FF,FF,
82390035,0CF00400,true,Rx,0,8,30,7D,84,69,17,00,0F,84,
82408558,18FFC33D,true,Rx,0,8,00,00,00,00,31,00,00,C2,
82409370,18FEF100,true,Rx,0,8,F4,00,00,50,00,00,00,00,
82410173,18FEEE00,true,Rx,0,8,73,FF,FF,FF,FF,FF,FF,FF,
82410728,0CF00400,true,Rx,0,8,20,7D,84,72,17,00,0F,84,
82413839,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
82414405,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
82423810,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
82428989,18FEF200,true,Rx,0,8,1C,00,00,00,15,03,FF,FF,
82430045,0CF00400,true,Rx,0,8,30,7D,84,62,17,00,0F,84,
82433923,18FEE400,true,Rx,0,8,FF,3F,FD,FC,FF,3F,FF,FF,
82450013,0CF00400,true,Rx,0,8,30,7D,84,57,17,00,0F,85,
82453889,18F00100,true,Rx,0,8,FF,FF,FF,FF,00,FF,FF,FF,
82454454,18FEBD00,true,Rx,0,8,00,F0,FF,FF,FF,FF,FF,FF,
82464044,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
82464696,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
82468564,18FFC13D,true,Rx,0,8,46,FF,FF,FF,FF,FF,FF,FF,
82470194,0CF00400,true,Rx,0,8,30,7D,84,5A,17,00,0F,85,
82473804,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
82474373,18F00029,true,Rx,0,8,F0,7D,7D,FF,29,FF,FF,FF,
82481253,18E0FF00,true,Rx,0,8,00,FF,FF,FF,FF,FF,FF,FF,
82484127,18FEF000,true,Rx,0,8,FF,FF,FF,90,1A,F0,CC,FF,
82490134,0CF00400,true,Rx,0,8,40,7D,84,60,17,00,0F,85,
82504134,18FEF500,true,Rx,0,8,BF,FF,FF,FF,FF,FF,FF,FF,
82509492,18FEF100,true,Rx,0,8,F4,00,00,50,00,00,00,00,
82510545,0CF00400,true,Rx,0,8,30,7D,84,64,17,00,0F,84,
82513913,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
82514477,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
82521211,18FFC400,true,Rx,0,8,00,00,00,00,00,F1,FF,FF,
82523675,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
82524230,1885FF00,true,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FF,
82529479,18FEF200,true,Rx,0,8,26,00,00,00,15,03,FF,FF,
82530025,0CF00400,true,Rx,0,8,40,7D,84,57,17,00,0F,85,
82543978,18FF0A00,true,Rx,0,8,EF,FF,FF,FF,FF,FF,FF,FF,
82550150,0CF00400,true,Rx,0,8,40,7D,84,5F,17,00,0F,85,
82553781,18F00100,true,Rx,0,8,FF,FF,FF,FF,00,FF,FF,FF,
82564092,0CF00300,true,Rx,0,8,D1,00,0E,FF,FF,FF,6B,FF,
82564649,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
82569129,18FDE500,true,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FB,
82570207,0CF00400,true,Rx,0,8,40,7D,84,6D,17,00,0F,84,
82573667,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
82574316,18F00029,true,Rx,0,8,F0,7D,7D,FF,29,FF,FF,FF,
82583931,18FEF000,true,Rx,0,8,FF,FF,FF,90,1A,F0,CC,FF,
82588963,18FE5600,true,Rx,0,8,A1,3E,FF,FF,1F,FF,FF,FF,
82590020,0CF00400,true,Rx,0,8,40,7D,84,63,17,00,0F,85,
82609198,18FEF100,true,Rx,0,8,F4,00,00,50,00,00,00,00,
82609770,18FFC33D,true,Rx,0,8,00,00,00,00,31,00,00,C2,
82610589,0CF00400,true,Rx,0,8,40,7D,84,5D,17,00,0F,85,
82613967,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
82614517,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
82615066,18ECFF00,true,Rx,0,8,20,32,00,08,FF,CA,FE,00,
82623889,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
82628967,18FEF200,true,Rx,0,8,27,00,00,00,16,03,FF,FF,
82630015,0CF00400,true,Rx,0,8,40,7D,84,63,17,00,0F,85,
82633956,18FEC100,true,Rx,0,8,C9,0E,42,04,1B,20,42,04,
83001896,0CF00400,true,Rx,0,8,40,7D,84,6D,17,00,0F,85,
83001902,18F00100,true,Rx,0,8,FF,FF,FF,FF,00,FF,FF,FF,
83001907,18FEDF00,true,Rx,0,8,85,80,25,7D,FB,FF,FF,F3,
83001912,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
83001917,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
83001923,18EBFF00,true,Rx,0,8,01,47,FF,61,00,03,7E,64,
83001928,0CF00400,true,Rx,0,8,30,7D,84,76,17,00,0F,84,
83001933,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
83001939,18F00029,true,Rx,0,8,F0,7D,7D,FF,29,FF,FF,FF,
83001944,18ECFF29,true,Rx,0,8,20,13,00,03,FF,E1,FE,00,
83001961,18FEF000,true,Rx,0,8,FF,FF,FF,90,1A,F0,CC,FF,
83001966,18FEF100,true,Rx,0,8,F4,00,00,50,00,00,00,00,
83001971,0CF00400,true,Rx,0,8,40,7D,84,76,17,00,0F,85,
83001977,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
83001982,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
83001987,18FFC400,true,Rx,0,8,00,00,00,00,00,F1,FF,FF,
83001993,18EBFF00,true,Rx,0,8,02,00,02,04,33,04,03,7E,
83001998,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
83002003,18FEF200,true,Rx,0,8,27,00,00,00,15,03,FF,FF,
83002008,0CF00400,true,Rx,0,8,30,7D,84,84,17,00,0F,84,
83002014,18EBFF29,true,Rx,0,8,01,14,01,70,17,68,68,42,
83002019,0CF00400,true,Rx,0,8,30,7D,84,7A,17,00,0F,84,
83002024,18F00100,true,Rx,0,8,FF,FF,FF,FF,00,FF,FF,FF,
83002030,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
83002035,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
83002040,0CF00400,true,Rx,0,8,30,7D,84,71,17,00,0F,85,
83002046,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
83002051,18F00029,true,Rx,0,8,F0,7D,7D,FF,29,FF,FF,FF,
83002056,18EBFF00,true,Rx,0,8,03,08,11,03,7E,0B,11,03,
83002062,18FEF000,true,Rx,0,8,FF,FF,FF,90,1A,F0,CC,FF,
83002067,18EBFF29,true,Rx,0,8,02,59,20,26,64,68,42,59,
83002072,0CF00400,true,Rx,0,8,30,7D,84,75,17,00,0F,84,
83002077,18FEF100,true,Rx,0,8,F4,00,00,50,00,00,00,00,
83002083,0CF00400,true,Rx,0,8,30,7D,84,7B,17,00,0F,84,
83002088,18FFC33D,true,Rx,0,8,00,00,00,00,31,00,00,C2,
83002093,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
83002099,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
83002104,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
83002109,18FEF200,true,Rx,0,8,1D,00,00,00,15,03,FF,FF,
83002115,0CF00400,true,Rx,0,8,20,7D,84,83,17,00,0F,84,
83002120,18EBFF00,true,Rx,0,8,04,7E,A1,0D,04,7E,BA,12,
83002125,18EBFF29,true,Rx,0,8,03,D0,34,84,03,5B,FF,FF,
83002130,18FEEF00,true,Rx,0,8,FF,FF,FF,FE,FF,FF,FF,FA,
83002136,0CF00400,true,Rx,0,8,30,7D,84,75,17,00,0F,85,
83002141,18F00100,true,Rx,0,8,FF,FF,FF,FF,00,FF,FF,FF,
83002146,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
83002152,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
83002157,18FEF600,true,Rx,0,8,FF,00,55,FF,FF,FF,FF,FF,
83002162,0CF00400,true,Rx,0,8,30,7D,84,7A,17,00,0F,84,
83002168,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
83002173,18F00029,true,Rx,0,8,F0,7D,7D,FF,29,FF,FF,FF,
83002178,18FEC1EE,true,Rx,0,8,E4,31,A2,06,E8,3E,01,00,
83002183,18FEF000,true,Rx,0,8,FF,FF,FF,90,1A,F0,CC,FF,
83002189,18EBFF00,true,Rx,0,8,05,1F,02,9A,0C,0F,28,9A,
83002194,18FD3E00,true,Rx,0,8,FF,FE,FF,FF,FE,FF,FF,FF,
83002200,0CF00400,true,Rx,0,8,20,7D,84,84,17,00,0F,84,
83002205,18FEF100,true,Rx,0,8,F4,00,00,50,00,00,00,00,
83002211,0CF00400,true,Rx,0,8,20,7D,84,73,17,00,0F,84,
83002216,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
83002221,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
83002227,18FEDF00,true,Rx,0,8,85,80,25,7D,FB,FF,FF,F3,
83002232,18FFC400,true,Rx,0,8,00,00,00,00,00,F1,FF,FF,
83002237,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
83002242,18FEE6EE,true,Rx,0,8,C8,35,0F,07,57,27,70,7A,
83009452,18FEF100,true,Rx,0,8,F4,00,00,50,00,00,00,00,
83010564,0CF00400,true,Rx,0,8,30,7D,84,65,17,00,0F,85,
83011642,18FFC33D,true,Rx,0,8,00,00,00,00,31,00,00,C2,
83014010,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
83014565,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
83025427,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
83028939,18FEF200,true,Rx,0,8,26,00,00,00,16,03,FF,FF,
83030028,0CF00400,true,Rx,0,8,30,7D,84,69,17,00,0F,85,
83050216,0CF00400,true,Rx,0,8,30,7D,84,72,17,00,0F,84,
83050758,18EBFF00,true,Rx,0,8,08,0E,FF,FF,FF,FF,FF,FF,
83051314,18ECFF00,true,Rx,0,8,20,22,00,05,FF,E3,FE,00,
83053917,18F00100,true,Rx,0,8,FF,FF,FF,FF,00,FF,FF,FF,
83065445,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
83065450,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
83070246,0CF00400,true,Rx,0,8,30,7D,84,64,17,00,0F,84,
83073885,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
83074451,18F00029,true,Rx,0,8,F0,7D,7D,FF,29,FF,FF,FF,
83085723,18FEF000,true,Rx,0,8,FF,FF,FF,90,1A,F0,CC,FF,
83090146,0CF00400,true,Rx,0,8,30,7D,84,59,17,00,0F,85,
83106489,1CDEEE17,true,Rx,0,8,0F,FF,03,00,00,00,00,00,
83108530,18EBFF00,true,Rx,0,8,01,70,17,B2,68,42,CB,00,
83109368,18E8FF00,true,Rx,0,8,00,FF,FF,FF,FF,00,DE,00,
83109921,18FEF100,true,Rx,0,8,F4,00,00,50,00,00,00,00,
83110745,0CF00400,true,Rx,0,8,40,7D,84,5D,17,00,0F,85,
83113645,1CE8FFEE,true,Rx,0,8,00,FF,FF,FF,FF,00,DE,00,
83114449,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
83115002,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
83119114,18FFC400,true,Rx,0,8,00,00,00,00,00,F1,FF,FF,
83125971,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
83128958,18FEF200,true,Rx,0,8,26,00,00,00,15,03,FF,FF,
83130281,0CF00400,true,Rx,0,8,40,7D,84,63,17,00,0F,85,
83150087,0CF00400,true,Rx,0,8,30,7D,84,69,17,00,0F,84,
83154031,18F00100,true,Rx,0,8,FF,FF,FF,FF,00,FF,FF,FF,
83160871,18EBFF00,true,Rx,0,8,02,19,B9,80,25,E0,C0,2B,
83166022,0CFD0F52,true,Rx,0,8,00,00,CB,03,7D,FF,FF,FF,
83166027,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
83166032,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
83174921,18F00029,true,Rx,0,8,F0,7D,7D,FF,29,FF,FF,FF,
83179054,18FEDF00,true,Rx,0,8,85,80,25,7D,FB,FF,FF,F3,
83186248,18FEF000,true,Rx,0,8,FF,FF,FF,90,1A,F0,CC,FF,
83190016,0CF00400,true,Rx,0,8,40,7D,84,64,17,00,0F,85,
83209393,18FEF100,true,Rx,0,8,F4,00,00,50,00,00,00,00,
83210708,0CF00400,true,Rx,0,8,30,7D,84,72,17,00,0F,84,
83212838,18FFC33D,true,Rx,0,8,00,00,00,00,31,00,00,C2,
83214164,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
83214725,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
83215310,18EBFF00,true,Rx,0,8,03,E0,D8,4A,FF,FF,EF,06,
83223693,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
83229017,18FEF200,true,Rx,0,8,1D,00,00,00,15,03,FF,FF,
83230078,0CF00400,true,Rx,0,8,30,7D,84,67,17,00,0F,84,
83250066,0CF00400,true,Rx,0,8,40,7D,84,60,17,00,0F,85,
83253958,18F00100,true,Rx,0,8,FF,FF,FF,FF,00,FF,FF,FF,
83263997,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
83267381,0CF00300,true,Rx,0,8,D1,00,0E,FF,FF,FF,6B,FF,
83270196,0CF00400,true,Rx,0,8,40,7D,84,66,17,00,0F,85,
83270848,18EBFF00,true,Rx,0,8,04,20,4E,3C,3C,F0,7D,E0,
83273698,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
83274250,18F00029,true,Rx,0,8,F0,7D,7D,FF,29,FF,FF,FF,
83284047,18FEF000,true,Rx,0,8,FF,FF,FF,90,1A,F0,CC,FF,
83290260,0CF00400,true,Rx,0,8,40,7D,84,6F,17,00,0F,85,
83309351,18FEF100,true,Rx,0,8,F4,00,00,50,00,00,00,00,
83310465,0CF00400,true,Rx,0,8,30,7D,84,77,17,00,0F,84,
83313958,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
83314506,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
83318934,18FFC400,true,Rx,0,8,00,00,00,00,00,F1,FF,FF,
83323844,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
83328589,18EBFF00,true,Rx,0,8,05,D8,4A,AF,00,FF,FF,FF,
83329139,18FEF200,true,Rx,0,8,27,00,00,00,15,03,FF,FF,
83330218,0CF00400,true,Rx,0,8,30,7D,84,6C,17,00,0F,85,
83344084,18FEEF00,true,Rx,0,8,FF,FF,FF,FE,FF,FF,FF,FA,
83350081,0CF00400,true,Rx,0,8,40,7D,84,74,17,00,0F,85,
83353989,18F00100,true,Rx,0,8,FF,FF,FF,FF,00,FF,FF,FF,
83364027,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
83364594,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
83367638,18FEF600,true,Rx,0,8,FF,00,55,FF,FF,FF,FF,FF,
83370395,0CF00400,true,Rx,0,8,30,7D,84,81,17,00,0F,84,
83373770,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
83374333,18F00029,true,Rx,0,8,F0,7D,7D,FF,29,FF,FF,FF,
83384111,18FEF000,true,Rx,0,8,FF,FF,FF,90,1A,F0,CC,FF,
83388963,18FEF700,true,Rx,0,8,FF,FF,FF,FF,27,02,FF,FF,
83389527,18FD3E00,true,Rx,0,8,FF,FE,FF,FF,FE,FF,FF,FF,
83390079,0CF00400,true,Rx,0,8,30,7D,84,77,17,00,0F,84,
83409361,18FEF100,true,Rx,0,8,F4,00,00,50,00,00,00,00,
83409991,18FEEE00,true,Rx,0,8,73,FF,FF,FF,FF,FF,FF,FF,
83410645,0CF00400,true,Rx,0,8,30,7D,84,6F,17,00,0F,85,
83413750,18FFC33D,true,Rx,0,8,00,00,00,00,31,00,00,C2,
83414307,0CF00300,true,Rx,0,8,D1,00,0D,FF,FF,FF,6B,FF,
83414853,18F00F52,true,Rx,0,8,FF,FF,FF,FF,FF,7F,1F,1F,
83423713,0CFE6CEE,true,Rx,0,8,00,3F,FF,C5,00,00,00,00,
83429011,18FEF200,true,Rx,0,8,27,00,00,00,16,03,FF,FF,
83430070,0CF00400,true,Rx,0,8,30,7D,84,73,17,00,0F,84,
83434043,18FEE400,true,Rx,0,8,FF,3F,FD,FC,FF,3F,FF,FF,
