Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
28351198,18FF3117,true,Rx,0,8,04,00,00,00,00,00,AE,80,
28351232,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28351237,18FEC1EE,true,Rx,0,8,C4,B1,BD,00,64,A8,01,00,
28351242,18FF3B21,true,Rx,0,8,04,00,00,00,4B,00,00,FF,
28351247,18FFAA21,true,Rx,0,8,E9,00,15,59,FF,15,00,FF,
28351253,18FFAB21,true,Rx,0,8,E9,00,00,00,00,00,00,01,
28351258,18FFAC21,true,Rx,0,8,E9,00,00,00,00,00,00,00,
28351263,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28351269,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28351274,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28351279,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28351285,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28351290,18FF3117,true,Rx,0,8,04,00,00,00,00,00,AE,80,
28351295,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28355139,18EBFFEE,true,Rx,0,8,03,31,31,37,2A,FF,FF,FF,
28355144,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28360697,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28361727,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28363172,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28363742,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28365832,18FF3117,true,Rx,0,8,04,00,00,00,00,00,AE,80,
28374639,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28375005,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28379331,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28381443,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28383055,18FDA521,true,Rx,0,4,FF,FF,FF,FF,00,00,00,00,
28383608,18FF3321,true,Rx,0,8,CD,17,88,13,00,00,00,00,
28384169,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28384723,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28385268,18FF3821,true,Rx,0,8,FF,FF,FF,FF,F3,04,FF,FC,
28385831,18FF3117,true,Rx,0,8,14,00,00,00,00,00,A8,80,
28386446,18FF3921,true,Rx,0,8,30,5E,9E,66,4E,20,20,20,
28387090,18FFC017,true,Rx,0,8,00,FD,FF,FF,FF,FF,FF,FF,
28387763,18FF3A21,true,Rx,0,8,16,7C,09,00,38,15,00,00,
28388337,18FF3B21,true,Rx,0,8,04,00,00,00,4B,00,00,FF,
28388892,18FF3C21,true,Rx,0,8,FF,FF,38,00,00,C0,01,00,
28389445,18FF3D21,true,Rx,0,8,05,00,00,E0,FF,FF,FF,FF,
28390031,18FFAA21,true,Rx,0,8,E9,00,15,59,FF,15,00,FF,
28390579,18FFAB21,true,Rx,0,8,E9,00,00,00,00,00,00,01,
28391145,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28391703,18FEE6EE,true,Rx,0,8,34,1B,10,07,57,27,7D,7A,
28394836,18FFAC21,true,Rx,0,8,E9,00,00,00,00,00,00,00,
28396573,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28399805,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28401635,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28403203,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
