Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
150940991,08FF2D3F,true,Rx,0,8,04,DE,00,00,00,00,FF,FF,
218046505,0CFF2029,true,Rx,0,8,30,FF,FF,FF,FF,FF,FF,FF,
352257597,14FF063D,true,Rx,0,8,E8,28,FF,FF,FF,FF,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E0,00,00,00,00,FF,FF,
218038401,0CFF0081,true,Rx,0,8,00,00,10,00,00,FF,FE,11,
218038657,0CFF0181,true,Rx,0,8,00,00,F4,F1,FF,FF,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E1,00,00,00,00,FF,FF,
218046505,0CFF2029,true,Rx,0,8,30,FF,FF,FF,FF,FF,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E0,00,00,00,00,FF,FF,
218038401,0CFF0081,true,Rx,0,8,00,00,10,00,00,FF,EE,11,
218038657,0CFF0181,true,Rx,0,8,00,00,F4,F1,FF,FF,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E1,00,00,00,00,FF,FF,
218046505,0CFF2029,true,Rx,0,8,30,FF,FF,FF,FF,FF,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E1,00,00,00,00,FF,FF,
218038401,0CFF0081,true,Rx,0,8,00,00,10,00,00,FF,E0,11,
218038657,0CFF0181,true,Rx,0,8,00,00,F4,F1,FF,FF,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E0,00,00,00,00,FF,FF,
218046505,0CFF2029,true,Rx,0,8,30,FF,FF,FF,FF,FF,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E0,00,00,00,00,FF,FF,
218038401,0CFF0081,true,Rx,0,8,00,00,10,00,00,FF,CC,11,
150940991,08FF2D3F,true,Rx,0,8,04,DE,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,DC,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E0,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E0,00,00,00,00,FF,FF,
218038401,0CFF0081,true,Rx,0,8,00,00,10,00,00,FF,AE,11,
150940991,08FF2D3F,true,Rx,0,8,04,E1,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E1,00,00,00,00,FF,FF,
218046505,0CFF2029,true,Rx,0,8,30,FF,FF,FF,FF,FF,FF,FF,
218038401,0CFF0081,true,Rx,0,8,00,00,10,00,00,FF,8A,11,
218038657,0CFF0181,true,Rx,0,8,00,00,F4,F1,FF,FF,FF,FF,
218046505,0CFF2029,true,Rx,0,8,30,FF,FF,FF,FF,FF,FF,FF,
218038401,0CFF0081,true,Rx,0,8,00,00,10,00,00,FF,7C,11,
352256829,14FF033D,true,Rx,0,8,00,00,9A,9A,3C,C3,F0,F0,
150940991,08FF2D3F,true,Rx,0,8,04,E0,00,00,00,00,FF,FF,
352256129,14FF0081,true,Rx,0,8,19,D0,1A,FF,1B,D0,1C,D1,
150940991,08FF2D3F,true,Rx,0,8,04,E1,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E1,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E0,00,00,00,00,FF,FF,
218038401,0CFF0081,true,Rx,0,8,00,00,10,00,00,FF,48,11,
150940991,08FF2D3F,true,Rx,0,8,04,DE,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E1,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E3,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E0,00,00,00,00,FF,FF,
218038401,0CFF0081,true,Rx,0,8,00,00,10,00,00,FF,24,11,
150940991,08FF2D3F,true,Rx,0,8,04,DE,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E0,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E0,00,00,00,00,FF,FF,
218038401,0CFF0081,true,Rx,0,8,00,00,10,00,00,FF,00,11,
218038657,0CFF0181,true,Rx,0,8,00,00,F4,F1,FF,FF,FF,FF,
218046505,0CFF2029,true,Rx,0,8,30,FF,FF,FF,FF,FF,FF,FF,
218038401,0CFF0081,true,Rx,0,8,00,00,10,00,00,FF,F2,10,
218046505,0CFF2029,true,Rx,0,8,30,FF,FF,FF,FF,FF,FF,FF,
218038401,0CFF0081,true,Rx,0,8,00,00,10,00,00,FF,E0,10,
218038657,0CFF0181,true,Rx,0,8,00,00,F4,F1,FF,FF,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,DE,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E0,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,DE,00,00,00,00,FF,FF,
218038401,0CFF0081,true,Rx,0,8,00,00,10,00,00,FF,C2,10,
150940991,08FF2D3F,true,Rx,0,8,04,E1,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E1,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,E1,00,00,00,00,FF,FF,
150940991,08FF2D3F,true,Rx,0,8,04,DE,00,00,00,00,FF,FF,
218038401,0CFF0081,true,Rx,0,8,00,00,10,00,00,FF,A2,10,
