Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
419377953,18FF3321,true,Rx,0,8,FF,FA,FF,FA,FF,FA,FF,FA,
419378465,18FF3521,true,Rx,0,8,55,15,55,51,51,45,00,10,
419378721,18FF3621,true,Rx,0,8,50,11,01,05,54,01,04,00,
419378465,18FF3521,true,Rx,0,8,55,15,55,51,51,45,00,10,
419378721,18FF3621,true,Rx,0,8,50,11,01,05,54,01,04,00,
419377431,18FF3117,true,Rx,0,8,00,00,01,01,00,65,00,05,
419378465,18FF3521,true,Rx,0,8,55,15,55,51,51,45,00,10,
419378721,18FF3621,true,Rx,0,8,50,11,01,05,54,01,04,00,
419378465,18FF3521,true,Rx,0,8,55,15,55,51,51,45,00,10,
419378721,18FF3621,true,Rx,0,8,50,11,01,05,54,01,04,00,
419377431,18FF3117,true,Rx,0,8,00,00,01,01,00,65,00,05,
418324759,18EF2117,true,Rx,0,8,01,F7,FF,FF,FF,FF,FF,FF,
418322209,18EF1721,true,Rx,0,8,03,04,70,74,FF,FF,FF,FF,
419378465,18FF3521,true,Rx,0,8,55,15,55,51,51,45,00,10,
419378721,18FF3621,true,Rx,0,8,50,11,01,05,54,01,04,00,
418322209,18EF1721,true,Rx,0,8,03,04,70,74,FF,FF,FF,FF,
419378465,18FF3521,true,Rx,0,8,55,15,55,51,51,45,00,10,
419377697,18FF3221,true,Rx,0,8,F4,FF,FF,FF,FF,FF,01,FA,
419378465,18FF3521,true,Rx,0,8,55,15,55,51,51,45,00,10,
419378721,18FF3621,true,Rx,0,8,50,11,01,05,54,01,04,00,
418322209,18EF1721,true,Rx,0,8,03,04,70,74,FF,FF,FF,FF,
419378465,18FF3521,true,Rx,0,8,55,15,55,51,51,45,00,10,
218000622,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
419379233,18FF3821,true,Rx,0,8,FC,00,00,00,00,00,00,FF,
419379489,18FF3921,true,Rx,0,8,00,00,00,00,00,00,FF,FF,
419378465,18FF3521,true,Rx,0,8,55,15,55,51,51,45,00,10,
419378721,18FF3621,true,Rx,0,8,50,11,01,05,54,01,04,00,
418324759,18EF2117,true,Rx,0,8,01,F7,FF,FF,FF,FF,FF,FF,
419378465,18FF3521,true,Rx,0,8,55,15,55,51,51,45,00,10,
419378721,18FF3621,true,Rx,0,8,50,11,01,05,54,01,04,00,
